# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);5.500
# Site longitude (positive means East);-75.000
# Site altitude (m);1250
# Date beginning;2021-08-01
# Date end;2021-08-30
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2021-08-01;01:00;295.76;70.28;875.74;1.08;204.80;0.001576;0.000000;0.000000;0.0000
2021-08-01;02:00;294.94;74.39;876.31;1.12;212.35;0.000049;0.000000;0.000000;0.0000
2021-08-01;03:00;294.22;77.26;876.70;1.18;216.46;0.000059;0.000000;0.000000;0.0000
2021-08-01;04:00;293.56;80.42;877.02;1.16;219.52;0.000761;0.000000;0.000000;0.0000
2021-08-01;05:00;292.93;84.03;877.17;1.08;222.61;0.007303;0.000000;0.000000;0.0000
2021-08-01;06:00;292.47;86.66;877.03;1.11;223.49;0.015833;0.000000;0.000000;0.0000
2021-08-01;07:00;292.11;88.55;876.76;1.12;224.99;0.008516;0.000000;0.000000;0.0000
2021-08-01;08:00;291.67;90.28;876.60;1.11;226.63;0.008798;0.000000;0.000000;0.0000
2021-08-01;09:00;291.28;91.34;876.79;1.12;225.88;0.015886;0.000000;0.000000;0.0000
2021-08-01;10:00;290.97;91.87;877.27;1.10;225.43;0.024343;0.000000;0.000000;0.0000
2021-08-01;11:00;290.62;92.34;877.82;1.14;225.03;0.028795;0.000000;0.000000;0.4751
2021-08-01;12:00;290.67;91.27;878.28;1.22;224.07;0.023701;0.000000;0.000000;82.9203
2021-08-01;13:00;292.05;84.54;878.51;1.36;211.88;0.001069;0.000000;0.000000;291.3996
2021-08-01;14:00;295.41;64.10;878.31;1.47;186.44;0.000053;0.000000;0.000000;581.0034
2021-08-01;15:00;298.94;46.95;877.90;1.47;164.20;0.000090;0.000000;0.000000;788.4981
2021-08-01;16:00;301.26;39.27;877.32;1.33;163.29;0.000100;0.000000;0.000000;931.2419
2021-08-01;17:00;302.87;35.45;876.41;1.33;168.31;0.003836;0.000000;0.000000;1001.9600
2021-08-01;18:00;303.93;33.61;875.38;1.43;172.50;0.052727;0.000000;0.000000;981.8918
2021-08-01;19:00;304.08;34.13;874.59;1.63;175.86;0.104800;0.000000;0.000000;794.6118
2021-08-01;20:00;303.37;36.97;874.26;1.85;178.50;0.161292;0.000000;0.000000;566.1343
2021-08-01;21:00;301.98;42.02;874.32;2.05;181.47;0.316636;0.000000;0.000000;343.4250
2021-08-01;22:00;300.24;48.56;874.83;2.05;184.68;0.437088;0.000000;0.000000;148.1010
2021-08-01;23:00;298.49;56.01;875.72;1.79;188.92;0.529586;0.000000;0.000000;36.1221
2021-08-01;24:00;296.99;63.32;876.68;1.38;197.82;0.461901;0.000000;0.000000;0.1930
2021-08-02;01:00;296.03;67.85;877.30;1.25;210.04;0.185386;0.000000;0.000000;0.0000
2021-08-02;02:00;295.52;68.99;877.61;1.22;212.16;0.062009;0.000000;0.000000;0.0000
2021-08-02;03:00;295.10;69.71;877.76;1.18;209.23;0.022606;0.000000;0.000000;0.0000
2021-08-02;04:00;294.74;70.25;877.90;1.30;208.09;0.031566;0.000000;0.000000;0.0000
2021-08-02;05:00;294.33;71.23;877.94;1.28;212.85;0.068440;0.000000;0.000000;0.0000
2021-08-02;06:00;293.85;72.59;877.82;1.18;217.03;0.036521;0.000000;0.000000;0.0000
2021-08-02;07:00;293.33;74.47;877.59;0.99;214.40;0.007480;0.000000;0.000000;0.0000
2021-08-02;08:00;292.81;76.35;877.49;0.98;212.92;0.007053;0.000000;0.000000;0.0000
2021-08-02;09:00;292.33;77.93;877.30;1.10;212.05;0.002104;0.000000;0.000000;0.0000
2021-08-02;10:00;291.93;79.04;877.26;1.25;210.71;0.001121;0.000000;0.000000;0.0000
2021-08-02;11:00;291.57;79.93;877.42;1.25;215.10;0.001234;0.000000;0.000000;0.4645
2021-08-02;12:00;291.71;78.41;877.82;1.28;217.85;0.001741;0.000000;0.000000;84.8129
2021-08-02;13:00;293.29;69.20;878.51;1.58;205.48;0.003008;0.000000;0.000000;275.1264
2021-08-02;14:00;295.31;59.85;878.96;1.80;185.42;0.002188;0.000000;0.000000;476.6169
2021-08-02;15:00;297.10;53.21;878.89;1.96;173.42;0.001140;0.000000;0.000000;673.2104
2021-08-02;16:00;298.67;48.03;878.45;2.08;171.95;0.001539;0.000000;0.000000;840.4503
2021-08-02;17:00;299.98;44.16;877.73;2.11;174.61;0.009820;0.000000;0.000000;912.6948
2021-08-02;18:00;300.82;41.86;876.78;2.13;176.51;0.039716;0.000000;0.000000;896.6607
2021-08-02;19:00;301.01;41.48;875.92;2.12;177.41;0.066614;0.000000;0.000000;770.1487
2021-08-02;20:00;300.82;42.15;875.33;2.11;178.47;0.067162;0.000000;0.000000;634.1455
2021-08-02;21:00;300.30;43.51;875.06;2.07;179.78;0.053509;0.000000;0.000000;474.2911
2021-08-02;22:00;299.32;46.36;875.17;1.94;183.95;0.015480;0.000000;0.000000;265.3367
2021-08-02;23:00;297.88;51.88;875.72;1.60;189.78;0.003109;0.000000;0.000000;78.6152
2021-08-02;24:00;296.14;59.83;876.47;1.36;199.22;0.003011;0.000000;0.000000;0.4185
2021-08-03;01:00;294.96;65.65;877.21;1.34;207.24;0.002392;0.000000;0.000000;0.0000
2021-08-03;02:00;294.01;70.73;877.80;1.21;212.13;0.001172;0.000000;0.000000;0.0000
2021-08-03;03:00;293.23;74.50;878.28;1.20;214.61;0.001217;0.000000;0.000000;0.0000
2021-08-03;04:00;292.65;77.11;878.75;1.17;218.12;0.005137;0.000000;0.000000;0.0000
2021-08-03;05:00;292.22;78.47;878.79;1.14;219.89;0.004855;0.000000;0.000000;0.0000
2021-08-03;06:00;291.82;79.55;878.50;1.15;218.41;0.000806;0.000000;0.000000;0.0000
2021-08-03;07:00;291.37;80.56;877.97;1.22;215.27;0.000117;0.000000;0.000000;0.0000
2021-08-03;08:00;290.85;81.74;877.58;1.24;213.01;0.000106;0.000000;0.000000;0.0000
2021-08-03;09:00;290.38;82.83;877.45;1.24;213.80;0.000137;0.000000;0.000000;0.0000
2021-08-03;10:00;289.95;84.13;877.54;1.24;215.03;0.000402;0.000000;0.000000;0.0000
2021-08-03;11:00;289.59;85.59;877.74;1.25;215.55;0.002543;0.000000;0.000000;0.4693
2021-08-03;12:00;289.70;85.04;878.21;1.26;217.03;0.004808;0.000000;0.000000;76.7535
2021-08-03;13:00;291.28;77.07;879.05;1.60;206.86;0.001115;0.000000;0.000000;274.6276
2021-08-03;14:00;293.86;63.11;879.60;1.98;191.44;0.001406;0.000000;0.000000;516.9972
2021-08-03;15:00;296.42;51.36;879.49;2.11;179.27;0.001069;0.000000;0.000000;714.7380
2021-08-03;16:00;298.38;44.29;879.04;2.13;172.73;0.000933;0.000000;0.000000;846.4803
2021-08-03;17:00;299.71;40.51;878.24;2.12;172.99;0.000990;0.000000;0.000000;911.7207
2021-08-03;18:00;300.54;38.72;877.23;2.11;177.24;0.000964;0.000000;0.000000;908.2083
2021-08-03;19:00;300.96;38.07;876.18;2.13;181.86;0.000806;0.000000;0.000000;834.6841
2021-08-03;20:00;300.92;38.56;875.28;2.12;185.24;0.000522;0.000000;0.000000;701.3995
