# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);5.499
# Site longitude (positive means East);-74.375
# Site altitude (m);1027
# Date beginning;2021-08-01
# Date end;2021-08-30
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2021-08-01;01:00;301.13;45.53;898.71;1.01;182.85;0.000267;0.000000;0.000000;0.0000
2021-08-01;02:00;300.29;47.72;899.40;1.26;167.88;0.000392;0.000000;0.000000;0.0000
2021-08-01;03:00;299.34;50.37;899.87;1.41;157.18;0.000425;0.000000;0.000000;0.0000
2021-08-01;04:00;298.45;52.98;900.27;1.36;150.37;0.001074;0.000000;0.000000;0.0000
2021-08-01;05:00;297.72;55.63;900.50;1.28;142.82;0.004957;0.000000;0.000000;0.0000
2021-08-01;06:00;296.98;60.11;900.44;1.28;142.46;0.008897;0.000000;0.000000;0.0000
2021-08-01;07:00;296.51;63.30;900.21;1.24;143.18;0.013412;0.000000;0.000000;0.0000
2021-08-01;08:00;296.11;63.56;900.13;1.26;141.94;0.014383;0.000000;0.000000;0.0000
2021-08-01;09:00;295.65;63.75;900.40;1.33;136.22;0.005291;0.000000;0.000000;0.0000
2021-08-01;10:00;295.14;65.21;900.92;1.32;135.76;0.000940;0.000000;0.000000;0.0000
2021-08-01;11:00;294.51;66.43;901.39;1.29;138.22;0.000521;0.000000;0.000000;1.1315
2021-08-01;12:00;295.61;60.85;901.80;1.66;139.63;0.000325;0.000000;0.000000;117.2703
2021-08-01;13:00;298.78;47.21;902.00;2.35;140.09;0.000265;0.000000;0.000000;355.4884
2021-08-01;14:00;302.41;35.05;901.55;2.12;136.00;0.000147;0.000000;0.000000;591.4873
2021-08-01;15:00;305.26;28.18;900.71;1.53;133.34;0.000248;0.000000;0.000000;790.7303
2021-08-01;16:00;307.41;24.30;899.85;1.10;135.49;0.001300;0.000000;0.000000;923.4448
2021-08-01;17:00;308.89;22.24;898.82;0.91;141.15;0.021238;0.000000;0.000000;955.4635
2021-08-01;18:00;309.34;21.76;897.71;0.93;155.07;0.068829;0.000000;0.000000;810.3759
2021-08-01;19:00;308.77;22.81;897.01;1.13;165.83;0.121455;0.000000;0.000000;559.1885
2021-08-01;20:00;307.75;24.98;896.83;1.45;168.65;0.214330;0.000000;0.000000;374.1873
2021-08-01;21:00;306.35;28.31;897.13;1.77;167.84;0.318504;0.000000;0.000000;216.1575
2021-08-01;22:00;304.75;32.63;897.80;1.95;165.35;0.353858;0.000000;0.000000;105.8191
2021-08-01;23:00;303.14;37.85;898.81;1.75;173.13;0.301336;0.000000;0.000000;31.5927
2021-08-01;24:00;301.44;45.18;899.69;1.25;201.39;0.121550;0.000000;0.000000;0.0937
2021-08-02;01:00;300.15;49.40;900.15;1.05;220.67;0.016856;0.000000;0.000000;0.0000
2021-08-02;02:00;299.20;52.85;900.58;0.57;218.31;0.003439;0.000000;0.000000;0.0000
2021-08-02;03:00;298.35;55.81;900.96;0.26;149.71;0.001669;0.000000;0.000000;0.0000
2021-08-02;04:00;297.63;58.22;901.11;0.30;113.06;0.000662;0.000000;0.000000;0.0000
2021-08-02;05:00;297.03;60.52;901.22;0.16;96.64;0.001152;0.000000;0.000000;0.0000
2021-08-02;06:00;296.58;62.38;901.35;0.11;230.48;0.023797;0.000000;0.000000;0.0000
2021-08-02;07:00;296.21;63.92;901.24;0.38;220.66;0.033072;0.000000;0.000000;0.0000
2021-08-02;08:00;295.71;65.69;901.10;0.71;206.09;0.043958;0.000000;0.000000;0.0000
2021-08-02;09:00;295.20;67.12;900.98;1.02;198.21;0.010180;0.000000;0.000000;0.0000
2021-08-02;10:00;294.77;68.06;900.83;1.15;186.16;0.003011;0.000000;0.000000;0.0000
2021-08-02;11:00;294.36;68.91;900.91;1.02;183.52;0.002917;0.000000;0.000000;0.9557
2021-08-02;12:00;295.29;64.41;901.31;1.19;185.55;0.002346;0.000000;0.000000;91.3535
2021-08-02;13:00;297.73;52.89;902.03;2.23;185.11;0.001543;0.000000;0.000000;289.0208
2021-08-02;14:00;300.41;42.77;902.33;2.39;182.91;0.005283;0.000000;0.000000;473.1977
2021-08-02;15:00;302.54;36.25;901.98;2.30;186.10;0.012682;0.000000;0.000000;590.5698
2021-08-02;16:00;304.34;31.78;901.26;2.25;192.09;0.011091;0.000000;0.000000;736.3979
2021-08-02;17:00;305.61;29.05;900.42;2.16;192.61;0.019673;0.000000;0.000000;798.5405
2021-08-02;18:00;306.08;27.97;899.51;2.07;188.12;0.039923;0.000000;0.000000;698.9556
2021-08-02;19:00;305.76;28.43;898.73;1.96;184.94;0.046127;0.000000;0.000000;527.0905
2021-08-02;20:00;305.05;29.79;898.23;1.88;181.03;0.044440;0.000000;0.000000;373.9943
2021-08-02;21:00;304.28;31.42;898.03;1.81;176.93;0.031208;0.000000;0.000000;262.6315
2021-08-02;22:00;303.41;33.41;898.14;1.69;175.58;0.013224;0.000000;0.000000;156.6314
2021-08-02;23:00;302.06;38.50;898.69;1.17;178.16;0.004972;0.000000;0.000000;49.9449
2021-08-02;24:00;300.09;46.38;899.52;1.04;185.47;0.001497;0.000000;0.000000;0.1296
2021-08-03;01:00;298.88;49.22;900.34;1.13;182.71;0.000944;0.000000;0.000000;0.0000
2021-08-03;02:00;297.97;52.20;901.05;1.16;170.69;0.000581;0.000000;0.000000;0.0000
2021-08-03;03:00;297.07;55.99;901.61;1.13;157.65;0.000369;0.000000;0.000000;0.0000
2021-08-03;04:00;296.41;60.49;902.03;0.91;153.45;0.000540;0.000000;0.000000;0.0000
2021-08-03;05:00;295.90;61.57;902.08;0.64;153.74;0.000818;0.000000;0.000000;0.0000
2021-08-03;06:00;295.54;62.00;901.78;0.61;165.93;0.005153;0.000000;0.000000;0.0000
2021-08-03;07:00;295.06;62.69;901.29;0.87;171.15;0.006540;0.000000;0.000000;0.0000
2021-08-03;08:00;294.44;64.79;900.99;1.11;174.36;0.002748;0.000000;0.000000;0.0000
2021-08-03;09:00;293.93;66.28;900.89;1.43;169.18;0.000880;0.000000;0.000000;0.0000
2021-08-03;10:00;293.39;67.65;900.98;1.47;166.12;0.000743;0.000000;0.000000;0.0000
2021-08-03;11:00;292.90;69.11;901.14;1.56;164.54;0.000765;0.000000;0.000000;0.9705
2021-08-03;12:00;293.63;66.38;901.54;1.87;162.52;0.000548;0.000000;0.000000;88.1821
2021-08-03;13:00;295.77;56.48;902.38;2.80;165.21;0.000281;0.000000;0.000000;289.0014
2021-08-03;14:00;298.89;43.32;902.92;3.35;166.17;0.000266;0.000000;0.000000;505.9460
